"","","Accuracy","Play Count","Performance","SS","S","A"
"#2918","Lemaire","99.31%","95,266","8,324","284","1,748","958"
"#2919","WWWWWWWWWWWWOWO","98.63%","40,230","8,324","24","957","1,197"
"#2920","Bae-","98.75%","67,974","8,323","118","1,043","1,503"
"#2921","Miyurissan","96.11%","70,864","8,323","27","461","705"
"#2922","Nikulae","98.90%","80,810","8,322","259","1,459","1,856"
"#2923","PenguinS","99.09%","34,075","8,322","23","579","999"
"#2924","[ G h o s t ]","98.64%","60,463","8,322","126","1,391","1,620"
"#2925","Hexicate","99.24%","40,722","8,321","42","763","922"
"#2926","Komiuke","99.02%","110,024","8,321","65","1,323","1,380"
"#2927","conradmittn","96.95%","86,877","8,318","27","1,002","1,821"
"#2928","phant0mm","98.91%","107,963","8,318","135","1,819","1,862"
"#2929","Mash","96.96%","129,837","8,318","238","799","1,071"
"#2930","Yuiop","98.08%","90,957","8,318","60","589","747"
"#2931","Delix","98.85%","88,942","8,318","15","320","574"
"#2932","Ryniix","97.12%","34,797","8,318","16","329","615"
"#2933","Abu","98.59%","100,218","8,317","75","1,536","873"
"#2934","Genny","99.35%","82,197","8,317","79","738","548"
"#2935","Kaifin","99.03%","121,275","8,316","152","1,112","823"
"#2936","0203okaT","99.14%","62,580","8,316","490","3,383","409"
"#2937","Andythebest","98.00%","59,077","8,316","61","1,593","1,345"
"#2938","CookiZooki","98.84%","38,461","8,316","104","558","1,455"
"#2939","Molo","99.36%","79,188","8,316","96","1,173","1,322"
"#2940","roby32","96.34%","34,839","8,314","54","265","178"
"#2941","Gshp_Szk","99.44%","40,840","8,313","82","731","1,636"
"#2942","Desired","99.05%","38,897","8,313","33","795","548"
"#2943","DanLadan2002","97.74%","19,589","8,312","28","680","890"
"#2944","Netsuzou","99.16%","97,890","8,312","4","121","214"
"#2945","Josh123uaJ","98.11%","83,196","8,312","16","651","684"
"#2946","rxbass1337","99.66%","100,908","8,312","945","882","1,001"
"#2947","Airidelis","99.23%","77,825","8,312","73","815","610"
"#2948","aimi","98.58%","133,258","8,312","107","2,355","1,129"
"#2949","Reolism","99.30%","93,811","8,311","109","981","275"
"#2950","oneohtrix","97.72%","84,897","8,310","37","355","557"
"#2951","Explosion007","97.74%","87,390","8,310","30","458","706"
"#2952","Faeya","98.46%","27,886","8,310","30","438","831"
"#2953","Yoshologist","98.91%","61,053","8,310","112","745","955"
"#2954","Ichor","99.00%","185,286","8,309","26","238","653"
"#2955","nicogame14","99.25%","55,730","8,309","69","1,262","897"
"#2956","Husk","98.89%","103,413","8,308","75","1,641","1,285"
"#2957","[ Vitor ]","98.61%","73,677","8,307","56","639","1,032"
"#2958","FakeKiller","98.11%","27,702","8,306","7","354","979"
"#2959","Contaminate","99.04%","60,590","8,306","104","700","915"
"#2960","redbaby","98.78%","75,477","8,306","210","526","718"
"#2961","BadAimBoi","98.86%","69,760","8,306","255","892","950"
"#2962","SlimcY","99.34%","66,666","8,306","91","494","293"
"#2963","b0nkers","99.30%","14,176","8,305","33","446","488"
"#2964","Reswery","98.74%","90,348","8,305","1,035","2,130","1,484"
"#2965","Nenko","99.09%","41,824","8,305","141","619","679"
"#2966","omphen","98.43%","59,980","8,304","32","382","868"
"#2967","Dzyre","98.84%","98,145","8,304","83","1,241","663"
"#2968","MareckiPL","99.12%","40,001","8,303","36","580","909"
"#2969","Ainyannnnn","98.71%","71,588","8,303","79","1,146","677"
"#2970","ElCrew-Maxi","94.93%","64,462","8,303","38","269","291"
"#2971","[ alone ]","98.31%","50,071","8,303","27","737","1,072"
"#2972","Unlucky Mylk","98.60%","103,408","8,302","148","1,169","613"
"#2973","sabec","97.56%","71,855","8,302","23","248","518"
"#2974","Hexishu","97.68%","20,976","8,301","14","328","569"
"#2975","AllieBork","99.36%","53,665","8,298","149","889","1,726"
"#2976","Fl3ke","96.69%","69,294","8,298","30","571","474"
"#2977","Minorsonek","98.13%","65,758","8,298","249","1,915","1,084"
"#2978","Ramsa","98.65%","97,847","8,298","46","880","1,108"
"#2979","EnuHQ","98.69%","68,004","8,297","84","555","653"
"#2980","Emnesty","98.34%","82,474","8,297","6","564","734"
"#2981","_YuriNee","99.02%","88,035","8,296","225","2,581","1,650"
"#2982","Rytrex","98.26%","32,748","8,295","24","304","330"
"#2983","h0bbes","97.64%","51,478","8,294","8","335","373"
"#2984","T4oMeK","99.19%","65,510","8,294","151","838","491"
"#2985","-Nenu-","98.94%","103,434","8,294","59","478","1,302"
"#2986","Pyrooo","98.32%","52,328","8,294","53","512","758"
"#2987","Big Gulp","99.33%","39,196","8,293","45","754","1,773"
"#2988","Nive_Chan","98.15%","44,719","8,293","35","566","952"
"#2989","-n4","99.46%","137,783","8,292","213","1,226","2,050"
"#2990","Radiateur","97.57%","66,477","8,291","15","279","413"
"#2991","-Kurisu","97.49%","113,789","8,290","91","702","686"
"#2992","Tilley","99.31%","73,047","8,290","72","1,435","2,026"
"#2993","chicken_10","97.69%","138,878","8,289","660","480","520"
"#2994","nexx-","93.97%","28,639","8,289","8","113","155"
"#2995","nobully","99.08%","36,100","8,289","55","609","659"
"#2996","HLOZSi","99.15%","41,179","8,289","309","1,373","827"
"#2997","Nenne","99.59%","27,805","8,288","353","1,184","277"
"#2998","Creper","99.00%","98,586","8,288","54","812","1,022"
"#2999","slushy","97.39%","146,153","8,287","245","1,343","1,788"
"#3000","reg","98.66%","56,714","8,286","232","790","408"
"#3001","MolekulaPwnZ","96.01%","70,550","8,286","15","365","1,184"
"#3002","-Cherry-","99.19%","28,551","8,286","27","384","880"
"#3003","iska","98.29%","109,996","8,286","103","797","880"
"#3004","MhliA","98.54%","81,844","8,286","102","1,030","709"
"#3005","Tonka Truck","98.71%","84,844","8,285","140","1,243","1,591"
"#3006","ShuroSoku","99.01%","47,025","8,285","143","831","1,435"
"#3007","JivZ","98.56%","80,817","8,285","97","2,059","1,997"
"#3008","thouka","98.44%","126,860","8,285","47","1,219","1,349"
"#3009","MatoLUL","96.31%","69,860","8,283","77","800","1,361"
"#3010","SIMONETRAPANI","98.35%","72,538","8,283","43","879","1,331"
"#3011","Norbi Gierczak","99.16%","81,667","8,283","82","826","1,478"
"#3012","Shiratu","99.36%","47,980","8,282","278","1,552","996"
"#3013","HenBurgaaa","99.32%","63,183","8,282","1,453","1,863","649"
"#3014","xoho","99.03%","61,815","8,282","36","789","691"
"#3015","gudetamaJP","98.62%","79,652","8,282","511","3,687","1,130"
"#3016","Tentsuki","98.56%","105,232","8,281","117","1,809","1,191"
"#3017","ABSOLUTE EPIC 5","98.91%","45,462","8,281","88","955","1,190"
"#3018","21_sucks","98.97%","70,922","8,281","66","2,462","1,418"
"#3019","OneShotFox","98.17%","56,240","8,281","39","670","1,222"
"#3020","moof","99.51%","81,654","8,280","161","937","1,537"
"#3021","Hallo","92.72%","63,313","8,280","2","107","237"
"#3022","[Shiina_503]","98.98%","127,865","8,279","93","1,512","1,419"
"#3023","ThePonite","99.24%","61,831","8,279","102","698","1,804"
"#3024","zhev","98.14%","71,459","8,277","117","1,080","1,898"
"#3025","pocket-","98.12%","25,578","8,277","79","1,161","979"
"#3026","Tabris","98.42%","58,058","8,276","44","1,236","2,621"
"#3027","jiawri","98.58%","51,000","8,276","5","347","927"
"#3028","Pigeons","94.97%","57,771","8,276","2","382","670"
"#3029","Akatsuyo","99.23%","72,676","8,276","50","665","1,200"
"#3030","conesaliiid","95.96%","95,371","8,276","3","205","891"
"#3031","Adventure Guy","97.41%","35,556","8,273","24","565","593"
"#3032","blueloniess","96.72%","70,556","8,273","28","1,139","1,072"
"#3033","My Angel Hibiki","96.61%","52,500","8,271","0","23","192"
"#3034","Moonlit","99.29%","63,955","8,271","41","522","1,944"
"#3035","Viyomi","97.85%","19,977","8,270","10","118","233"
"#3036","Chaox","97.04%","118,237","8,269","9","784","1,156"
"#3037","Ritokoi","97.41%","109,317","8,269","9","428","485"
"#3038","RhythmicRS","96.13%","32,802","8,269","24","321","562"
"#3039","NeoAxel","99.01%","70,739","8,268","228","1,906","2,213"
"#3040","Aimseky","98.55%","45,266","8,268","31","764","1,378"
"#3041","Brandee","99.07%","40,410","8,267","18","636","731"
"#3042","_Buddy","97.78%","50,554","8,267","29","601","731"
"#3043","Weryy","96.67%","55,715","8,267","21","403","723"
"#3044","popera","98.13%","56,913","8,267","30","779","2,573"
"#3045","sobatsuyu","99.36%","70,371","8,266","27","489","675"
"#3046","Sururi","97.95%","30,633","8,265","46","461","1,469"
"#3047","theColdSpirit","97.25%","30,754","8,265","8","543","1,325"
"#3048","keikonakuru","97.89%","27,046","8,265","8","339","456"
"#3049","WhiteLily","98.27%","64,412","8,265","63","992","686"
"#3050","AquaRabbit","99.18%","21,990","8,264","19","310","464"
"#3051","XirU","99.00%","130,071","8,263","468","1,727","957"
"#3052","Somay 287","99.21%","89,441","8,263","213","1,134","1,464"
"#3053","Snowio","99.36%","156,133","8,262","899","2,350","991"
"#3054","Ely","99.30%","32,393","8,262","84","728","1,367"
"#3055","Jarvis","99.01%","90,355","8,261","114","1,062","1,056"
"#3056","Levantus","97.96%","26,299","8,261","14","395","158"
"#3057","MarGenDo","98.56%","65,679","8,261","39","558","950"
"#3058","Sheeaper","98.86%","88,531","8,261","22","618","914"
"#3059","WholeWheatPete","98.64%","65,056","8,260","23","624","1,362"
"#3060","Hashitora","97.57%","28,244","8,260","27","159","304"
"#3061","SnuffleTruffle","97.37%","55,458","8,260","35","475","590"
"#3062","i shot my son","98.93%","76,132","8,260","54","786","958"
"#3063","itay","98.90%","56,080","8,258","31","748","1,010"
"#3064","Soizare","99.09%","18,767","8,258","30","231","416"
"#3065","cannedfruit","99.61%","72,453","8,258","223","701","732"
"#3066","matt57","97.40%","90,136","8,258","44","313","392"
"#3067","TypeNymph","98.30%","133,055","8,257","64","726","1,366"
"#3068","bnu","99.62%","110,062","8,257","1,783","3,892","1,178"
"#3069","brownsugar9897","99.35%","67,593","8,256","25","748","902"
"#3070","Propellero","97.91%","83,837","8,256","31","1,114","2,647"
"#3071","sorangan","97.77%","82,627","8,256","33","616","682"
"#3072","Mya4","98.50%","33,706","8,256","4","373","1,079"
"#3073","Croa","96.83%","39,584","8,256","53","643","1,746"
"#3074","mokia-","92.73%","52,356","8,254","3","331","511"
"#3075","Climate","99.21%","151,680","8,254","1,525","2,000","116"
"#3076","pudingkokoro","99.36%","119,922","8,253","1,461","704","175"
"#3077","Derzzkilz","98.99%","72,523","8,253","49","649","1,100"
"#3078","Master","99.14%","36,336","8,252","39","519","370"
"#3079","Prophet","98.04%","240,506","8,252","76","4,423","1,697"
"#3080","KingZ","97.37%","64,285","8,252","27","432","701"
"#3081","TiltBoi","98.74%","58,147","8,251","366","2,565","1,832"
"#3082","Nyanpantsu","99.36%","50,477","8,250","444","1,684","2,974"
"#3083","SilverOfTheMoon","98.25%","36,180","8,250","8","347","1,009"
"#3084","SyoZohma","99.22%","60,074","8,249","84","1,242","1,343"
"#3085","chewzy","98.98%","47,785","8,249","27","506","615"
"#3086","Icewarrior52","96.78%","80,772","8,249","21","426","569"
"#3087","Aidan","97.13%","85,541","8,248","38","500","874"
"#3088","Kaoeg","96.22%","54,300","8,248","5","175","307"
"#3089","ProAtBeingAKid","98.59%","169,672","8,247","100","691","461"
"#3090","Bites","99.12%","25,000","8,246","171","686","458"
"#3091","Liya","98.95%","32,011","8,245","160","1,798","997"
"#3092","ScarletTiramisu","98.55%","131,144","8,244","62","960","1,607"
"#3093","iMinimal","97.90%","84,942","8,244","14","1,071","1,171"
"#3094","Shiku","98.36%","76,451","8,244","88","1,092","903"
"#3095","NeTsune","98.82%","75,450","8,243","328","1,660","1,660"
"#3096","Potatorz","98.24%","89,463","8,243","144","1,238","1,455"
"#3097","Bake-NekoLoLi","98.69%","48,169","8,242","113","2,080","2,413"
"#3098","Lorn","98.96%","65,208","8,242","39","815","1,783"
"#3099","3zachm","97.78%","104,695","8,242","38","516","535"
"#3100","rrtyuki","98.93%","21,331","8,242","19","303","755"
"#3101","VXB","99.18%","110,776","8,242","144","923","963"
"#3102","reeder","99.51%","81,916","8,241","47","801","1,480"
"#3103","xSnejx","98.55%","51,888","8,241","31","506","1,208"
"#3104","-Sylvari","98.19%","71,879","8,241","71","1,171","1,131"
"#3105","meR maR","97.68%","90,490","8,241","1,171","2,363","355"
"#3106","Aesa","99.55%","22,192","8,240","89","247","170"
"#3107","-pk-","98.94%","82,995","8,240","359","2,845","665"
"#3108","ponpokorin","98.67%","112,342","8,240","414","2,944","764"
"#3109","DvxNL","98.09%","65,920","8,239","83","1,341","1,973"
"#3110","Megatron is bad","97.82%","74,336","8,238","68","1,494","1,557"
"#3111","Braixen","97.82%","49,530","8,237","117","784","945"
"#3112","JUSTadICE-CHaN","97.63%","47,377","8,237","30","777","896"
"#3113","FINGERLOCK","99.10%","93,668","8,237","149","845","780"
"#3114","muchy","99.44%","94,601","8,237","285","1,782","777"
"#3115","ChiSuki","97.83%","24,581","8,237","56","712","1,135"
"#3116","Timtimkabim","97.93%","47,447","8,236","12","530","945"
"#3117","biscuitsiu","98.35%","92,019","8,236","23","443","792"
"#3118","Moegi","99.44%","79,229","8,235","825","4,944","2,901"
"#3119","Krosis","97.81%","69,764","8,235","164","1,532","945"
"#3120","-Kao-","99.02%","89,875","8,234","82","806","701"
"#3121","vernonlim","99.31%","35,196","8,233","76","693","1,332"
"#3122","Celsea","99.35%","158,261","8,233","165","1,089","1,195"
"#3123","Hiromu","98.82%","48,976","8,232","132","2,053","2,019"
"#3124","spooky1202","97.57%","46,590","8,232","27","270","567"
"#3125","badfranky-","99.58%","64,765","8,231","665","2,484","1,266"
"#3126","mic_ne","98.47%","80,604","8,231","125","1,378","563"
"#3127","hmrkhmrk","98.45%","82,786","8,231","144","1,813","783"
"#3128","Osama","99.06%","136,687","8,230","70","1,520","1,272"
"#3129","Sawku","99.47%","63,100","8,230","20","575","866"
"#3130","Kusm1c","97.27%","100,464","8,229","22","234","721"
"#3131","Ghossert","99.04%","50,486","8,229","13","290","581"
"#3132","Elle S","98.90%","32,478","8,229","10","56","48"
"#3133","My Angel Ariana","99.43%","65,529","8,228","77","659","1,475"
"#3134","Mihi","99.05%","125,451","8,226","13","677","1,024"
"#3135","Cologne","98.66%","20,053","8,226","33","551","638"
"#3136","[Sven]","98.63%","101,158","8,226","236","625","1,083"
"#3137","Kepap","97.63%","53,323","8,225","22","645","872"
"#3138","daddy_daniel","98.36%","83,063","8,225","10","238","718"
"#3139","Leehai","99.14%","27,779","8,224","48","578","234"
"#3140","Alan-","99.16%","58,096","8,224","266","1,485","2,061"
"#3141","Tsujikiri","98.06%","37,720","8,222","96","337","696"
"#3142","Lammy-","98.87%","66,930","8,222","78","809","1,244"
"#3143","redeemed","98.87%","49,907","8,221","17","849","1,128"
"#3144","Deka San","99.02%","117,402","8,220","65","1,709","1,564"
"#3145","darkmmon","95.29%","63,402","8,220","5","636","664"
"#3146","myth","96.14%","78,253","8,220","156","514","786"
"#3147","Kno","94.85%","114,142","8,219","4","208","366"
"#3148","Nokamu","99.03%","123,073","8,218","77","1,508","1,697"
"#3149","over_loadcode","99.01%","30,624","8,218","27","330","1,683"
"#3150","-Eniglizx-","98.70%","46,164","8,217","40","1,151","811"
"#3151","Billx","99.33%","80,575","8,217","99","1,640","1,084"
"#3152","Houkago Stride","97.62%","32,854","8,217","11","318","384"
"#3153","d4ilyrun","98.29%","98,501","8,217","31","309","1,011"
"#3154","Auxuelus","98.59%","50,387","8,216","35","693","1,070"
"#3155","Daniel -","97.34%","103,161","8,216","31","415","1,050"
"#3156","Johannes","98.86%","48,269","8,216","39","386","885"
"#3157","Hikiezi","99.27%","47,596","8,215","12","123","181"
"#3158","kareh","95.68%","51,697","8,215","32","492","608"
"#3159","Rigour","97.98%","53,225","8,215","48","625","575"
"#3160","wraithayy","96.64%","182,048","8,215","182","1,040","1,314"
"#3161","Flosake","99.07%","61,106","8,213","129","1,757","804"
"#3162","rhyy","96.23%","69,297","8,213","10","177","591"
"#3163","xdOwOxd","96.29%","50,438","8,212","27","175","657"
"#3164","Shuvi-","97.92%","141,611","8,212","23","811","1,399"
"#3165","Bitcoin","98.21%","48,786","8,211","187","1,897","783"
"#3166","HaReeee","97.40%","59,361","8,211","14","392","652"
"#3167","Xiaoh","98.76%","57,408","8,211","154","1,087","612"
"#3168","- Nicooh","98.47%","100,780","8,211","441","958","978"
"#3169","saiyo","99.27%","90,548","8,211","74","753","1,502"
"#3170","revurii","98.51%","82,695","8,211","17","658","864"
"#3171","Kenshin","98.76%","94,483","8,210","195","1,121","755"
"#3172","My Angel Kaoura","98.45%","55,038","8,209","51","889","1,517"
"#3173","Chiharu","99.28%","109,483","8,209","80","817","1,082"
"#3174","Xern","98.46%","54,350","8,208","107","729","403"
"#3175","Alleus","98.97%","85,517","8,208","131","1,494","1,688"
"#3176","[Mad]","96.78%","72,073","8,207","28","661","1,977"
"#3177","SWAKE","99.10%","35,573","8,206","31","270","271"
"#3178","Tacere","97.64%","110,459","8,206","22","526","935"
"#3179","Faylie","99.13%","66,743","8,206","67","397","931"
"#3180","Kubrickz","99.00%","132,017","8,205","177","936","933"
"#3181","NewMouse","98.99%","61,656","8,205","18","540","614"
"#3182","Reishara","98.95%","61,820","8,204","50","1,376","2,087"
"#3183","Kneesokkusu","98.51%","56,761","8,204","19","205","306"
"#3184","Remilia-yuu","98.29%","148,050","8,204","40","682","880"
"#3185","Goraniix","97.96%","42,441","8,204","3","273","586"
"#3186","TehRiptorrZ","96.64%","93,948","8,203","15","215","388"
"#3187","MURROX","98.17%","53,594","8,202","8","390","500"
"#3188","punikidesu-","99.05%","109,173","8,202","463","1,921","469"
"#3189","Kazumine-","98.56%","83,630","8,201","100","1,158","1,183"
"#3190","eztar","98.84%","41,345","8,201","74","671","460"
"#3191","Petushok_322","96.78%","108,237","8,201","81","916","1,977"
"#3192","Ancenthe","98.43%","87,101","8,200","47","848","1,968"
"#3193","CHIP--","98.85%","35,195","8,200","60","754","1,125"
"#3194","Rtzer0","99.18%","124,829","8,200","238","2,217","1,879"
"#3195","Tiagobabum","99.00%","61,026","8,199","27","730","1,171"
"#3196","translate","99.38%","74,771","8,199","127","1,291","1,364"
"#3197","eyeball","96.27%","17,963","8,196","6","129","132"
"#3198","borumi","98.57%","44,084","8,196","93","810","978"
